Date,Close,High,Low,Open,Volume
01-01-2008,26.67381668,27.38197155,26.57796508,26.86694962,14286067
02-01-2008,26.71101189,26.89556185,25.7696687,26.75249931,15938538
03-01-2008,26.49928284,26.86695076,26.25464747,26.86695076,15642150
04-01-2008,26.64806366,26.98568885,26.44062425,26.88697779,9810045
07-01-2008,26.48926926,27.15307266,26.12303108,26.12303108,9657369
08-01-2008,25.50214005,26.82831917,25.08296979,26.75249528,22797769
09-01-2008,25.57367516,25.96280279,25.06151497,25.32188655,13003782
10-01-2008,24.43919373,26.32331427,24.32045268,26.32331427,14609168
11-01-2008,24.41487694,24.77110011,23.79112895,24.43919613,14095280
14-01-2008,23.98282623,26.36623002,23.83833398,26.36623002,17026667
15-01-2008,24.38053894,24.71816413,23.91988122,24.57796564,18440604
16-01-2008,23.40486717,24.60658216,22.95422205,24.60658216,30965293
17-01-2008,23.19742012,23.7338994,23.03289788,23.7338994,34202389
18-01-2008,22.38912201,23.42774867,22.03862011,23.19455808,22146455
21-01-2008,20.64663506,22.31759282,17.91129927,22.23175621,39468325
22-01-2008,19.18883896,24.59513247,15.39341781,19.9141609,37703714
23-01-2008,19.9871254,20.71387601,19.59942746,20.31473564,23681916
24-01-2008,19.1917038,21.17310498,18.63233261,20.45779677,26668419
25-01-2008,20.45922661,20.57224416,19.31330341,20.02861154,15483155
28-01-2008,19.93418694,20.14305836,19.14162757,20.14305836,8652349
29-01-2008,20.46351624,20.64091295,19.94849434,20.42918205,9918302
30-01-2008,20.69527626,21.17310225,20.31616363,20.48640711,14175512
31-01-2008,21.13304329,21.32760824,19.82546198,20.77252865,25357458
01-02-2008,22.21601677,22.34620253,21.11730472,21.17309862,22898667
04-02-2008,22.95135689,23.37481871,22.23175727,22.23175727,22008474
05-02-2008,23.37767982,23.49069967,22.27467611,23.00428841,25143128
06-02-2008,22.85693932,23.40486576,22.49642461,22.60372095,17333761
07-02-2008,22.08297157,23.30757803,21.89127067,22.74677722,17682231
08-02-2008,21.49785042,22.37481664,21.22031064,22.37481664,11849360
11-02-2008,20.79255867,21.51644971,20.43204173,20.88984,10998926
12-02-2008,20.32331467,21.43061205,20.08583257,20.94420084,11601002
13-02-2008,21.69098663,21.81401918,20.57224437,20.82117123,19050280
14-02-2008,22.27181625,22.62374797,22.00286168,22.28898449,14735950
15-02-2008,23.4091568,23.49356139,21.88841234,21.88841234,24120086
18-02-2008,23.49642181,24.20600644,23.12589214,23.58798193,24811798
19-02-2008,23.26037216,23.94849708,23.17596528,23.74534913,14381403
20-02-2008,22.10157204,23.37625132,21.89127314,21.89127314,17212217
21-02-2008,23.05579185,23.17596494,22.31759426,22.31759426,18400289
22-02-2008,23.02431488,23.390553,22.68096622,22.68096622,22021111
25-02-2008,23.15164375,23.23318888,22.26180063,23.02431971,18194387
26-02-2008,23.16451836,23.48211356,22.95421719,23.17596308,20678232
27-02-2008,23.24034119,23.8597977,23.09298716,23.46208709,21921566
28-02-2008,23.58511353,23.71959077,23.09012171,23.41630211,20943783
29-02-2008,22.93991089,23.74534707,22.29613521,23.74534707,28879281
03-03-2008,22.11444664,22.99570441,21.8597963,22.46351656,18176932
04-03-2008,22.25894356,22.66094571,21.64377844,22.45922977,24290595
05-03-2008,22.8669529,22.99570667,22.26609433,22.42918458,19486759
07-03-2008,22.1330471,22.78683784,21.78111539,22.60371988,18626007
10-03-2008,23.24749374,23.43347344,21.29470467,21.88840996,26308435
11-03-2008,23.43776512,23.79971181,22.92417522,23.11301667,25925212
12-03-2008,21.99713516,23.74820826,21.77395954,23.60514573,27096134
13-03-2008,19.94134331,21.88841128,19.77682333,21.88841128,30995963
14-03-2008,20.46065331,20.84405738,20.02860857,20.1716688,28099265
17-03-2008,18.85264397,20.02717773,18.6294672,19.74248699,23822742
18-03-2008,18.28469276,19.28469173,18.0257509,18.60085828,22835544
19-03-2008,18.25035667,19.08440474,18.16881155,18.65665142,23715903
24-03-2008,16.91272926,18.59799342,16.40915324,18.59799342,23708734
25-03-2008,18.19312668,18.3977043,17.16737684,17.18168217,19160006
26-03-2008,18.81831169,19.12446335,17.87124488,18.31187383,26402784
27-03-2008,18.74105644,19.17024177,18.37338853,18.85550602,25889935
28-03-2008,20.48926544,20.74248373,18.88125391,18.88125391,39794218
31-03-2008,19.8669529,20.51502245,19.68955615,20.48640948,21891485
01-04-2008,19.21030045,20.08583595,18.85121549,19.99999934,13819768
02-04-2008,18.56509018,19.74248684,18.4120138,19.59942431,19226729
03-04-2008,18.88841248,19.11301902,18.27038677,18.59799702,20760784
04-04-2008,18.92417336,19.4678082,18.74248516,18.84119737,29107372
07-04-2008,19.4720993,19.59942332,18.4592238,19.05578964,18878207
08-04-2008,18.79971123,19.47066899,18.70386077,19.47066899,16380004
09-04-2008,19.42346001,19.57081173,18.69098484,18.94134141,21443354
10-04-2008,19.59370613,19.71387693,19.17024314,19.19885496,15946862
11-04-2008,19.83547783,20.10729413,19.23604903,19.70815151,21662911
15-04-2008,19.80400467,20.02861234,19.32045743,19.86409007,10038912
16-04-2008,19.77539063,20.29899783,19.66523483,20.02288774,11239685
17-04-2008,20.53790855,20.65807934,19.88554762,20.02861016,20675419
21-04-2008,22.21029854,22.2889819,20.66237104,20.88697869,28948052
22-04-2008,22.3862648,22.54649329,21.89270258,22.23175753,17680982
23-04-2008,22.81830597,22.99570267,21.63661903,22.16022387,33926300
24-04-2008,22.21315956,22.88984202,22.04577783,22.88984202,19934648
25-04-2008,22.99713898,23.05865411,22.03719545,22.19456219,20604455
28-04-2008,22.27324677,23.27324565,20.6051484,23.27324565,20503063
29-04-2008,23.18740654,23.46208457,22.28898057,22.40343013,33489034
